4000
Atoms. Timestep: 0
1 3.38463 28.5932 -0.756699
1 4.31466 32.1598 10.5208
1 4.76796 36.8487 0.342644
1 13.6229 36.7138 3.40752
1 12.4582 29.7841 2.06578
1 13.0923 37.3822 2.19048
1 3.47169 36.3378 2.4255
1 15.0307 36.9255 3.79419
1 14.9169 33.7428 8.02615
1 7.2755 36.9074 0.368235
1 7.46775 27.0407 5.01647
1 9.78898 36.7775 0.16955
1 15.7092 39.8331 2.67328
1 9.87733 32.0797 3.79802
1 11.9399 34.1961 2.55083
1 13.2804 35.8497 9.55586
1 6.02963 36.7801 1.08829
1 13.48 38.7043 1.88246
1 14.835 39.1686 1.58974
1 12.7259 35.8787 4.27521
1 11.0289 31.3722 6.70186
1 4.71523 36.1792 3.1949
1 9.27353 31.4473 4.89875
1 15.4474 35.0206 8.47539
1 13.1924 30.8463 1.36286
1 6.00068 36.3643 2.4646
1 11.8176 34.878 3.82659
1 9.75089 31.8035 6.18256
1 14.785 35.9663 9.35194
1 11.6525 31.832 7.95659
1 14.61 30.5755 0.931376
1 11.199 37.2185 0.559891
1 15.6681 29.9543 1.78289
1 6.64247 34.8384 6.19404
1 12.1491 36.5892 1.42061
1 16.912 36.7279 0.378902
1 18.9533 27.6171 0.790633
1 17.8493 37.3278 4.45289
1 16.9574 39.2239 3.25221
1 18.1857 37.2157 0.840524
1 21.1932 36.8373 5.79451
1 12.2485 35.0598 1.41699
1 16.4812 30.2714 9.09865
1 15.8766 36.5088 1.45991
1 22.7972 37.8752 3.44732
1 15.4891 28.8315 2.53211
1 27.439 35.9861 -0.924555
1 19.3614 38.0716 8.37894
1 12.6005 34.4015 0.152249
1 18.9784 36.5622 4.56311
1 22.439 38.6017 4.60977
1 19.3091 37.2519 -0.14638
1 13.0289 28.7312 2.93861
1 17.2628 37.776 3.18188
1 19.0747 32.106 6.13876
1 19.7763 36.3868 5.80778
1 19.4919 28.5633 -0.157192
1 16.0466 37.037 2.85569
1 19.0141 37.0672 -1.57588
1 14.3516 28.7268 3.44836
1 18.5643 39.0394 8.92398
1 19.5324 33.4379 6.28023
1 20.1893 29.7695 0.139863
1 18.4635 37.659 2.18144
1 21.6086 29.8739 0.0468315
1 17.013 31.5414 9.49912
1 19.7729 38.0682 2.54954
1 23.3187 35.5692 4.36977
1 27.3292 27.5957 2.40385
1 23.3133 35.7288 5.79097
1 22.3094 38.2654 2.15074
1 23.7188 34.2973 3.94762
1 22.8612 35.1832 8.8544
1 26.5022 35.9796 0.311108
1 25.2941 28.9213 7.07745
1 25.1204 35.018 2.0539
1 29.7861 40.3769 7.20478
1 24.5447 29.9147 6.3626
1 26.2358 32.3095 1.59172
1 22.2497 37.7568 10.1295
1 25.9972 34.7781 0.968949
1 22.1712 36.1125 6.51117
1 31.0075 40.5587 6.52655
1 24.7492 33.9637 2.93732
1 25.2356 31.6265 3.83761
1 20.9556 38.0489 1.68662
1 24.6573 32.1266 7.5871
1 22.1744 36.289 8.04261
1 26.9083 28.869 2.98678
1 20.6149 37.6443 0.311207
1 25.2769 32.5824 2.7271
1 24.8572 31.3201 6.3791
1 21.7942 37.5238 8.6625
1 23.9721 33.4061 7.39532
1 26.3604 29.8749 2.19684
1 24.6064 36.4179 2.39385
1 27.0507 31.0792 1.64941
1 21.4219 38.1933 5.58542
1 23.603 36.6041 3.46904
1 40.2553 28.9013 -0.211486
1 35.6889 29.5742 0.947427
1 35.445 32.5735 7.14464
1 32.6327 40.0616 4.51649
1 39.0542 29.1764 1.92101
1 37.9238 33.5856 7.71507
1 26.6695 33.5143 0.774076
1 35.2627 28.6635 8.39392
1 37.6025 31.2228 5.57395
1 39.4586 40.4771 3.03041
1 28.704 26.9262 7.16426
1 39.0754 29.3273 0.4561
1 34.5699 36.1829 6.82033
1 27.6744 33.2969 -0.339944
1 36.7235 33.6066 6.84406
1 38.4865 39.723 2.35106
1 40.1112 28.6433 2.74531
1 34.1868 27.7525 7.61497
1 31.3064 39.946 5.25754
1 36.935 30.5526 6.69267
1 35.8513 35.5386 8.88973
1 36.7115 30.3747 0.365468
1 38.5824 30.6385 4.79896
1 37.9093 29.8768 -0.295869
1 33.355 27.082 8.64531
1 35.8077 36.0939 7.51174
1 35.801 31.1117 7.36467
1 40.156 28.6688 4.22318
1 35.2003 36.2488 -0.806686
1 39.0474 29.2232 5.04375
1 34.0305 33.0819 7.16967
1 36.1331 36.4363 0.269461
1 1.97869 3.55153 14.5622
1 3.52934 -1.50719 9.83737
1 2.88155 4.23613 13.5572
1 2.55163 8.00399 12.6942
1 2.9413 3.86542 12.1482
1 7.85676 -0.868131 8.19488
1 4.57926 4.95301 8.71026
1 1.52046 2.12647 14.2211
1 3.59311 4.70708 11.1132
1 7.80312 10.0717 13.4868
1 2.93782 1.94584 10.5951
1 5.44772 -0.269633 7.77099
1 3.58726 9.69343 14.3263
1 4.58402 6.3457 8.83359
1 5.6416 6.98936 13.7397
1 7.95743 1.40506 16.8349
1 6.12995 -1.73017 9.76798
